time,t(s),T_{env},P_{env},T1_{ext},T2_{ext},T3_{ext},T4_{ext},T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_{180},Turb2_{180},Turb3_{180},Turb4_{180},Turb1_{135},Turb2_{135},Turb3_{135},Turb4_{135},Turb1_{ref},Turb2_{ref},Turb3_{ref},Turb4_{ref}
1732877766.9117386,0.0,22.416796875,1026.2832309526293,22.375,22.187,22.312,22.062,24.2736328125,24.1048828125,23.96171875,21.8880859375,1024.9364610528792,1027.1121009562332,1036.8342799659526,993.7152845311307,57.816673547676544,60.96204614212309,41.13986551684611,31.909829000727495,4.095875,4.095875,4.095875,0.6415,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732877796.911995,30.0,22.3611328125,1026.2934530387492,22.375,22.187,22.312,22.062,24.3654296875,23.8564453125,24.0375,21.8982421875,1025.1715397439834,1026.7268181756249,1035.146961757007,993.7263034524398,56.65540025501885,61.09800988511955,40.930192392193526,31.654618667206716,4.095875,4.095875,4.095875,0.689375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732877826.9138572,60.002,22.2853515625,1026.3019789990542,22.312,22.187,22.312,22.062,24.283984375,23.618359375,23.9818359375,21.8931640625,1025.2872728845434,1026.4049010005122,1034.1365714805254,993.7254905749585,55.8308160661979,61.33176409507113,40.841565486362086,31.759895482095892,4.095875,4.095875,4.095875,0.689625,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732877856.915759,90.004,22.2044921875,1026.2970213500505,22.312,22.125,22.312,22.062,24.1158203125,23.380078125,23.87578125,21.8728515625,1025.319905345524,1026.1182347517945,1033.3809585094075,993.7110096536137,55.519321210723,61.25451461641496,40.697436534242364,32.054279466714526,4.095875,4.095875,4.095875,0.533875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732877886.9175494,120.006,22.138671875,1026.255666987387,22.25,22.125,22.312,22.062,23.9171875,23.1576171875,23.72421875,21.832421875,1025.3252136089277,1025.8687903593702,1032.7935314850934,993.7071755013368,55.16954987721388,61.625843131745235,41.000476131986055,31.771915881337026,4.095875,4.095875,4.095875,0.679625,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732877916.9193928,150.008,22.1134765625,1026.270349636999,22.25,22.125,22.25,22.062,23.7134765625,22.9556640625,23.5474609375,21.8021484375,1025.328034053357,1025.6678894837464,1032.344090308913,993.7229950258339,55.06844958448882,62.28160774381067,40.95537211090522,31.94438200829028,4.095875,4.095875,4.095875,0.543,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732877946.921114,180.009,22.0779296875,1026.289388510608,22.187,22.062,22.25,22.062,23.519921875,22.7693359375,23.3857421875,21.766796875,1025.3651030401916,1025.4755676843042,1031.9400922964014,993.703340052649,55.528757024680324,62.38140612043414,41.19736283599788,31.97794072211756,4.095875,4.095875,4.095875,0.690875,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732877976.92213,210.01,22.04765625,1026.2629953609778,22.187,22.125,22.25,22.062,23.316015625,22.6087890625,23.219140625,21.7365234375,1025.2857086528693,1025.2908240788163,1031.588522201236,993.6996257742472,55.423472071474535,62.754563067868865,41.40042998138243,31.812496272864163,4.095875,4.095875,4.095875,0.5955,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732878006.9240549,240.012,22.042578125,1026.2971707653624,22.187,22.062,22.187,22.062,23.1224609375,22.4587890625,23.0625,21.701171875,1025.2894155658485,1025.1316496774296,1031.2984390826996,993.7059797260023,55.49724815467591,63.062496593260356,41.487583674391686,32.245072832730486,4.095875,4.095875,4.095875,0.684,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
1732878036.9257705,270.014,22.052734375,1026.2682608909008,22.125,22.062,22.187,22.062,22.9595703125,22.334375,22.916015625,21.6859375,1025.3158322307797,1025.0529217681114,1031.0571767005174,993.6821613264209,55.87124704114101,63.37161861408364,41.734714330389224,32.06810660750303,4.095875,4.095875,4.095875,0.613375,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
