t(s),T1_ext,T2_ext,T3_ext,T4_ext,Turb1_180,Turb1_90,Turb2_180,Turb2_90,Turb3_180,Turb3_90,Turb4_180,Turb4_90
0.0,25.625,25.75,25.625,25.625,0.014000427259132664,-0.0001250038148136845,0.011875362407300027,0.0,0.0043751335184789575,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
30.0,25.625,25.75,25.625,25.625,0.014000427259132664,-0.0001250038148136845,0.013375408185064242,-0.0001250038148136845,0.0043751335184789575,0.0,0.0060001831110568565,-0.0001250038148136845
60.002,25.625,25.75,25.625,25.625,0.01387542344431898,-0.0001250038148136845,0.013375408185064242,0.0,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
90.005,25.625,25.75,25.625,25.625,0.014000427259132664,-0.0001250038148136845,0.01275038911099582,-0.0001250038148136845,0.0043751335184789575,0.0,0.0060001831110568565,-0.0001250038148136845
120.007,25.625,25.75,25.625,25.625,0.014000427259132664,0.0,0.013125400555436872,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
150.009,25.625,25.75,25.625,25.625,0.01387542344431898,-0.0001250038148136845,0.01275038911099582,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
180.011,25.625,25.687,25.625,25.625,0.01387542344431898,-0.0001250038148136845,0.009500289925840021,0.0,0.0043751335184789575,0.0,0.00612518692587054,-0.0001250038148136845
210.013,25.625,25.687,25.562,25.625,0.014000427259132664,-0.0001250038148136845,0.011375347148045289,-0.0001250038148136845,0.004500137333292642,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
240.014,25.625,25.687,25.625,25.625,0.014000427259132664,0.0,0.011625354777672658,-0.0001250038148136845,0.0043751335184789575,0.0,0.0060001831110568565,-0.0001250038148136845
270.016,25.625,25.687,25.562,25.625,0.014000427259132664,-0.0001250038148136845,0.01275038911099582,-0.0001250038148136845,0.004500137333292642,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
300.018,25.625,25.687,25.562,25.562,0.014000427259132664,-0.0001250038148136845,0.012125370036927397,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
330.02,25.625,25.687,25.562,25.562,0.01387542344431898,0.0,0.01275038911099582,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
360.022,25.625,25.687,25.562,25.625,0.01387542344431898,0.0,0.013750419629505295,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
390.024,25.625,25.687,25.562,25.625,0.01387542344431898,-0.0001250038148136845,0.011625354777672658,0.0,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
420.026,25.562,25.687,25.562,25.625,0.01387542344431898,0.0,0.005500167851802118,0.0001250038148136845,0.004500137333292642,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
450.027,25.625,25.687,25.562,25.562,0.014000427259132664,-0.0001250038148136845,0.013625415814691611,-0.0001250038148136845,0.0043751335184789575,0.0,0.00612518692587054,-0.0001250038148136845
480.03,25.625,25.687,25.562,25.562,0.01387542344431898,0.0,0.012125370036927397,0.0,0.004500137333292642,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
510.033,25.625,25.687,25.562,25.562,0.014000427259132664,-0.0001250038148136845,0.01387542344431898,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
540.035,25.562,25.687,25.562,25.562,0.01387542344431898,0.0,0.013250404370250556,0.0,0.004500137333292642,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
570.036,25.625,25.687,25.562,25.562,0.01387542344431898,0.0,0.013375408185064242,-0.0001250038148136845,0.0043751335184789575,0.0,0.0060001831110568565,-0.0001250038148136845
600.038,25.562,25.687,25.562,25.562,0.01387542344431898,-0.0001250038148136845,0.011750358592486344,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
630.04,25.562,25.687,25.562,25.562,0.01387542344431898,0.0,0.013000396740623189,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
660.041,25.625,25.687,25.562,25.562,0.01387542344431898,-0.0001250038148136845,0.012875392925809505,0.0,0.0043751335184789575,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
690.043,25.562,25.687,25.562,25.562,0.01387542344431898,-0.0001250038148136845,0.012625385296182135,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
720.045,25.562,25.687,25.5,25.562,0.01387542344431898,-0.0001250038148136845,0.013000396740623189,0.0,0.0043751335184789575,0.0,0.00612518692587054,-0.0001250038148136845
750.047,25.562,25.625,25.5,25.562,0.013750419629505295,-0.0001250038148136845,0.013000396740623189,-0.0001250038148136845,0.0043751335184789575,0.0,0.00612518692587054,-0.0001250038148136845
780.048,25.562,25.687,25.562,25.562,0.01387542344431898,0.0,0.012625385296182135,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
810.05,25.625,25.625,25.5,25.562,0.01387542344431898,-0.0001250038148136845,0.013250404370250556,-0.0001250038148136845,0.0043751335184789575,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
840.051,25.562,25.625,25.5,25.562,0.013750419629505295,0.0,0.012625385296182135,0.0,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
870.053,25.562,25.625,25.5,25.562,0.01387542344431898,-0.0001250038148136845,0.011250343333231605,0.0,0.0043751335184789575,-0.0001250038148136845,0.00612518692587054,-0.0001250038148136845
900.055,25.562,25.625,25.5,25.5,0.013750419629505295,0.0,0.006625202185125278,0.0,0.0043751335184789575,-0.0001250038148136845,0.0060001831110568565,-0.0001250038148136845
