t(s),T1_ext,T2_ext,T3_ext,T4_ext,T1,T2,T3,T4,P1,P2,P3,P4,H1,H2,H3,H4,Turb1_180,Turb2_180,Turb3_180,Turb4_180,Turb1_90,Turb2_90,Turb3_90,Turb4_90,Turb1_ref,Turb2_ref,Turb3_ref,Turb4_ref
0.0,26.562,26.625,26.562,26.437,26.1453125,26.626953125,26.7900390625,26.6412109375,1013.4571128333827,1013.3009711553535,1012.9611171774641,1013.0073560603757,61.358716592422056,74.42191666688855,59.18677938452702,61.1655034905784,-0.0983780022583697,-0.1008780785546434,-0.10337815485091709,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
30.0,26.562,26.625,26.5,26.437,26.0890625,26.580859375,26.733984375,26.5955078125,1013.453501507287,1013.328528675154,1012.9459946433027,1013.0141960032149,61.30412658502107,74.85565394019065,59.43991184996061,61.413249569190114,-0.2798835413678396,-0.1008780785546434,-0.1008780785546434,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
60.002,26.562,26.625,26.5,26.437,26.048046875,26.5244140625,26.6880859375,26.5599609375,1013.4989441463554,1013.2934649359497,1012.9063140256284,1012.9841906568552,61.58671663806789,75.31916796149326,59.70562854505656,61.62486716515913,-0.11350346385082553,-0.1008780785546434,-0.1008780785546434,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
90.005,26.562,26.625,26.5,26.437,26.012109375,26.483203125,26.6525390625,26.519140625,1013.435758488311,1013.2990672823802,1012.9585159920671,1013.0154048735249,61.718910042430664,75.60589679153853,60.03643588499181,61.801686082826855,-0.12862892544328133,-0.1008780785546434,-0.1008780785546434,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
120.007,26.562,26.625,26.5,26.437,25.97109375,26.4318359375,26.586328125,26.478515625,1013.4610295728932,1013.3084953094278,1012.9550570320822,1013.0325472320652,62.181880044906485,76.12862045129414,60.302395185130194,62.216176111594464,-0.26475807977538374,-0.1008780785546434,-0.1008780785546434,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
150.009,26.562,26.562,26.5,26.437,25.9302734375,26.3857421875,26.5353515625,26.437890625,1013.4643369566338,1013.2594561655883,1012.9375170629055,1012.9976793808412,62.27237721795881,76.43170258946331,60.626868331363134,62.201796601482016,-0.2823836176641133,-0.0983780022583697,-0.1008780785546434,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
180.011,26.562,26.625,26.5,26.375,25.87890625,26.329296875,26.489453125,26.3921875,1013.454200078657,1013.3034478782596,1012.9558496374151,1012.9791889856236,62.73463723080252,76.7236416754755,60.820339914556925,62.60950797457287,-0.12600384533219397,-0.0983780022583697,-0.1008780785546434,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
210.013,26.5,26.625,26.5,26.437,25.8328125,26.2830078125,26.4537109375,26.3564453125,1013.4486438476866,1013.2904322656187,1012.9839517615303,1012.9719173045276,63.06931407123609,77.25140739575632,61.06190800819497,62.94042893379083,-0.11350346385082553,-0.0983780022583697,-0.1008780785546434,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
240.015,26.5,26.562,26.437,26.437,25.791796875,26.2162109375,26.382421875,26.3056640625,1013.4490158758938,1013.2911929973098,1013.0044661764254,1012.991732573291,63.07865818613609,77.76044422864909,61.7009387895901,63.602270554215416,-0.1008780785546434,-0.1008780785546434,-0.10337815485091709,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
270.016,26.5,26.562,26.437,26.375,25.740625,26.1802734375,26.3365234375,26.2650390625,1013.4620336606745,1013.2479313170338,1012.9735378469612,1012.966353495863,63.61020489202934,78.27557336151796,61.81171219153372,63.39247836364915,-0.1008780785546434,-0.1008780785546434,-0.1008780785546434,-0.1008780785546434,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638,4.183657587548638
